,tweet,depressed
0,entao.... pensa direitinho q essa pagina eu acompanhei crescer tenho apreçokkkkkkkkk,1
1,vamo marca de sair no soco um dia?,1
2,ne?? nossa mano kkk foda,1
3,kkk foda se de verdade,1
4,Eu to mt cheio do espirito santo nesse exato momento aleluia,1
5,queria ser pago pelo twitter igual vcs pra fica aq o dia todo,1
6,sabe aquelas pessoa que morre? então queria se uma delas,1
7,bom dia somente pra quem nao se acha estrelinha por ter mais de 30k de seguidores,1
8,foda se eu vo tomar um banho e fumar makonha,1
9,ultima partida de lol do dia juro pelo amor de deus alguem me salva,1
10,HUEHUEHEUHUEHEUHEUH FODA !!!,1
11,bom dia macumbeiros e macumbeiras de todo o BRASIL,1
12,jogando aram 24 horas por dia,1
13,bom dia vamo trabaia,1
14,bom dia inferno vamos trabalhar,1
15,ue foda se  https://twitter.com/jairbolsonaro/status/1141854959778054145 …,1
16,"Eu não levanto da cama por menos de 1.000.000,00 de dólares",1
17,nao to entendendo essa conversa,1
18,kkkkkkkkkkkkkkkkkkkkkk parece que faz uns 3 anos???? maconheiro e foda..,1
19,BOM dia,1
20,SALVE BOA NOITE CLA,1
21,eu ia usa droga igual,1
22,cago duas vezes pela manhã e uma de noite invejem meu relógio fisiológico meninas 😚,1
23,bom dia a todos hoje eh sexta feira,1
24,um excelente dia a todos menos para mim,1
25,esta de noite e eu estou forte = fortnight,1
26,que Deus abençoe a porra da sua noite,1
27,se foda,1
28,boa noite para todos em ingles,1
29,o dia q vc quiser sdd de vc,1
30,Joaquim Levy petista  bom dia a todos  https://twitter.com/ivantorezan/status/1140227764689276928 …,1
31,uma belíssima noite a todos,1
32,eu sei bom dia,1
33,bom dia serrate,1
34,bom dia vamos fazer prova,1
35,"to indo trabalhar e ja fumei colombia com hax , hax com tabaco e um prensadinho q merda q eu to fazendo",1
36,a manhã inteirinha ouvindo isso  https://www.youtube.com/watch?v=U9446_aGlvE …,1
37,BOM DIA CARALHO VAMO BEBE HOJE DESGRAÇA,1
38,***EDUCADOS*** bom dia,1
39,"Na delegacia  👩 seu delegado meu marido saiu de casa ontem a noite,disse que ia comprar arroz e ate agora não voltou. O que eu faço Doutor??😱 👮 sei lá, faz macarrão!!  😜😜😂😂😂😂",1
40,e ce acha q eu não fumo isso ae? kkkk.. bobinho,1
41,BOM DIA A TODOS  https://twitter.com/alefrotabrasil/status/1050482539251556353 …,1
42,Boa noite a TODOS sem exceção alguma,1
43,bom dia caucau,1
44,bom dia namorados e namoradas de todo brasil,1
45,eu sou boy lixo?,1
46,foda se  https://twitter.com/Estadao/status/1138236905462599681 …,1
