,tweet
0,que agressiva gente
1,Chegou atrasado jornalista!!! Nós já sabíamos que JB ia arrasar! 🤜🤛Vai Brasil!! 🇧🇷
2,pô é mó merda
3,Viés ideológico é o golpe.
4,@TiagoBrunet realiza meu sonho de  ganha o seu novo livro autografado.
5,"Oi, rs"
7,duos? eu or nae
9,"Pprt , como um prato de janta parecia que eu estava indo pro festival de Sal kkkk"
10,Vai se foder mesmo
11,Jogaço. Se não tiver disputa não vale a pena. P cima deles Brasil!!!!#VoleiNoSporTV
12,nesse caso posso concluir que eu nao faço parte desses 10%
13,"Masuda, parabéns por ter falado, falado e não falar nada. Só continua cagando na cabeça dos fãs"
14,"Fui eu mesmo! Tive de o ir buscar eu, o Alter prontes..."
18,Se achando
19,mlk o ferrão SOME DO NADA
20,"mas c viu o basquete dos meninos hj? muita sebera misericórdia, gostei nn"
21,"Eu imagino faria o mesmo,to chocada com tamanha igualdade 😔"
22,"PROIBIDÃO, SÓ FAV SE TIVER CORAGEM.   🔥- Quarta 🔥- Quarta 🔥- Sim 🔥- V 🔥- Não 🔥- KKKKKK boca 🔥- Carro 🔥- R 🔥 - Ambos 🔥- S 🔥- 🤷‍♀️ 🔥- Não 🔥- Não faço ideia  Só curte se for pra mandar"
23,TO MUITO CANSADA MAS QUERIA BEBER HOJE
25,"Pronto, todo mundo te ama"
27,As amigas da luana são sensatas e sabem q ela é maluca
28,Deve ser isso
29,tem algo acontecendo??
31,"Credo.. fica longe dessa menina toxica, nat"
32,eu nunca me senti ofendido por isso. Você sim?
33,Te amo bebe
34,Maravilhosa!
35,Euu ksksksks
36,tá gurizada sem meme comunsita de internet não faz revolução  vamo se organizar  foifoifoifoifoifoifoifoisemtempo
37,namoral eu vou lá na Crystal pedir um emprego
38,ESCUTA AQUI VOCÊ É LINDA NÃO TÔ SABENDO LIDAR.
40,Agora que quero falar com o meu irmão ele não está em casa
41,a tarde hj foi mt boa nmrl
43,"vai po caralho, tu amas-me"
44,não sei se ficou boa essa roupa ou não 🥴
45,kkkkkkkkkkkkkkkkkkkkkk vem eu pago amor
47,os franceses vao ter q segurar a bola até o outro lado pro árbitro marcar condução??? não é possivel
48,Fiz 3 sanduíches de uma vez tô pra explodir
49,voce = perfeita
50,Você eu acredito
51,Eu nem sabiiiiia dessa foto garoto! 🥰✊
52,"Vixi. Você é corajosa ou sádica. Quer ser assombrada? Vou tirar sim, mas preciso de um dia de beleza 💅"
53,quem vcs acham que ganha esse ano...?
54,Craque da bola!
55,"Eu não tenho solução, você só vai perder seu tempo"
56,Me tira de perto de miiiim
57,Foram muito bem.
58,"Mano tava aq me perguntando qual era o erro, só depois li o user wjdkkwkdkw MANO"
59,Jogador nutella 👍
61,Tadinha!!!
62,Sextou gente
63,meu pai ficou assustado quando eu mostrei my chemical romance pela primeira vez pra ele eu fiquei triste a
64,KKKKKKKKKKKKKKKK me conte mais sobre isso
65,aaaa obrigada mo❤️❤️
66,"Eu fiz um cachorro quente muito bom, que delicia"
67,tua vontade de aparecer é maior que tua depressão. Teu problema é falta do que fazer.
68,"Para de ser mentirosa, eu nem tô saindo"
70,Achei que tinha queimado o chuveiro pela segunda vez mas foi apenas um susto ufa
71,amém kkk
73,LIXOOOOOOOOOOO SÓ QUERO COMPRAR MEUS ALBUNS EM PAAAAAAAZ
74,hj vou ficar de boa em casa mas amanhã tem q rolar presepada kkkkkk
76,"nao vejo de pega mimha coisa e ir embora dessa cidade, troca de chip e fazer umas plástica"
77,agr nn da to lendo fanfic de rapper br
78,"Meu pai tem um grupo de amigos da faculdade que são o Vander, o Nilo e o Felipe  Preciso destacar o Felipe porque é uma figura"
79,"tranquilamente no bar jogando sinuca qdo eu ouço um ""a culpa é do lula"" vindo do balcao"
80,Desanimo total hoje 😔
81,se fodeu 😝
82,Ambos os hipócritas sabem que não dá votos!
84,"' Quero muito parar com alguém, ficar tranquila surtando com oq é meu, mas hoje em dia ngm quer nada com nada .😏"
85,para de me ataca faz faovr
86,Qm sabe um dia tu tenha cabelo vermelho e eu um bebê AHHAHAHHAHAHA
87,Aí sim opalao beberrao
89,delírio de conta pessoal isso dfijgni
91,Mande um sinal !! 🎶
92,O Estadão faz parte da imprensa não confiável. Só noticia crises inexistentes. Por que não publicam as pautas positivas da viagem do Presidente  ao Japão na reunião do G20?
93,Sorvete é totalmente minha perdição
94,Mandou bem Ernesto!
95,Pp que eu e Luiz ficamoz nervosos pelos noivos kkkk
96,feliz porque comprei minha base
97,"Fico vendo,minhas amigas me apoiava tanto com o coisinha q hj em dia elas ate beija ele kkkkkkkkkkkkkkk"
98,Não acredito em signos KKKKKKK épico
100,tu acha??? a roupa foi cara!!!
101,Apoio
102,Outro nível
103,"Akakakakakak  , vida nova"
104,vai todo mundo me esquecer q eu sei
106,tu vai chegar em casa dizendo que foi o aço
107,Tô dentro. Kkkkk
108,q sustoooo man n recebi notificação meu coracao parou d bater por um segundo
109,"Que jeito estranho, bro"
110,alguem de Macaé vai ta indo? queria fazer umas amizade
111,Porque foi à multiopticas! Pague 1 par e leve outro de graça ahahahah Só q essa parte nós n vimos
113,quando eu tava no ensino médio eu era apaixonada por um prof do ensino fundamental muito jovenzinho q dava aula lá na escola... nunca troquei uma palavra com ele  agr q eu saí da escola ele tá me mandando solicitação nas redes sociais   interessante
114,"apronto, to apaixonada brinks haha"
115,fia faço nada se acha q aguento
118,Só queria estar vendo o Wimbledon com a família que eu gosto
119,Po mas eu tbm te amo po
121,O casamento da mh irmã foi lindo
122,nao sextou nao consegui convite p amanha nao estou feliz
123,PERFEITA
124,eu tava desejando ele desde ontem não acredito que vivi uma ilusão
126,Tenho a puta de um escaldão na cara fds
127,"Juro, como é possível sentir tanto a falta da tua companhia ?!.."
128,Tá doooooido!!
129,"Chile pegou um baita transito no Radial Leste sexta feira na hora pico e chegou atrasada pro jogo, surpresos ninguém, haha, zl ta osso mano"
130,"Ainda bem q amanhã é sábado,dia de dormir até tarde nada de escola nada de trabalho...😴💤"
132,kkkkkkkkkkkkkkkkkkkk ai fernanda
133,Twitter ficou estranho :S
134,Como uma criatura pode ter sossego na vida pra viver sem água 🤔
135,hwiqufgwqfiquwfwhwf mds a série dark foi longe demais com a cópia da faux
137,Hidro e o mec tá garantido p hoje ! Aí paaai
138,o que eu mais amo nas tags é que fica todo mundo elogiando todo mundo e o clima tão bom!! #SelfiesForSina
140,só hj imaginei meu futuro com o piá do caixa umas 6 vezes
141,Tô tão triste
143,"Se alguém tem culpa, são os presidentes das duas Casas do Congresso que deixaram a esquerda pautar esse assunto. E faltou articulação do governo em forçar a instalação da Comissão. Se informe melhor."
144,preciso de asinhas alguem me doa
145,Dois rolês de cana no fds que vem amém senhor
146,"as bombinhas de são joão explodem por aí e eu automaticamente penso que é troca de tiros ou explosão de agência bancária, natal é isso sabe"
148,Quero muito abandonar o twitter. Fico aqui remoendo algo que já foi. Tô cansada de ver ele viver e eu aqui esperando ele voltar sendo que ele foge.
150,mano quem é mais enrolado pra responder um turno e pq donghyuck?!
152,Saudades de quando fui em cg com as meninas 💞
153,nenhuma mina da match cmg no tinder 👍🏼
155,Dei meu rim por esse armário mas caraca nosso quarto tá ficando tão lindinho
157,eu tava reclamando hj mesmo no zap e olha só???? já surtei bastante mas ainda tô animada.... e agora
158,Kkkkkkkkkk aí é foda
159,Coisa que eu não faço pra mim kkkkk
160,"Todo b a mesma coisa,eu passo em tudo,menos matemática KKKKKKKKKKKKK"
161,"Morar em brisamar é um castigo.  Oh ligarzim sem lazer, mano!"
162,Só colar qnd puder irmão
163,"Hoje uma colega de trabalho contou uma experiência na qual sua irmãzinha de 4 anos foi vítima de racismo e tudo o que pude fazer na hora foi chorar. Choro de ódio dessa sociedade, de indignação, sabe? Fiquei mal o dia todo.   E FOGO NOS RACISTA"
164,De nada 🤪🤪
167,Vou usar de perfil
168,Bora amanhã?
170,me pergunto o porquê de venderem o estereótipos de que lgbt e principalmente gay é super feliz quando na verdade a maioria que conheço é acometido pela depressão e ansiedade
171,to tão tisti queria mais 10 tattoos
172,eu to triste demais que o austin nao vem em mg
173,eu tô tão felizzzz ❤️
174,Caralho O Leonardo me põe nervosa
175,Só dá Colômbia 👏👏
176,EUUU o luis teve q ir p minha casa p garabtir que eu nao ia noiar e desistir mas eu posso avisar qdo a gente tiver saindo se tu quiser ou passamos aí e te pegamos de uber
177,acordei c ninguém em cs mané 😒👎🏻
179,Obrigada amor ❤❤❤
181,"Não basta a minha psicóloga arrasar cmg na quarta,  agora meu psiquiatra me da o diagnóstico e ainda por cima me passa o remédio mais caro da farmácia, só pra ferrar ainda mais com meu psicológico."
182,valeu
183,"Se ele seguir as minhas dicas vai dar tudo certo, pilotar moto não é difícil"
184,Hoje tem...
185,O mundo gira... Um dia você está por baixo outro por cima.
186,eu soltei de cena kkkkkkk não gosto de gente que rende pra todo mundo
189,Bote que vamo
190,Eu sei lá ahahah
191,"essa situação. Isso nao me impede, enquanto profissional de saúde mental de pensar concomitantemente a isso a problemática do abuso de substâncias recreativas. Não quero amigo meu com 26 anos alcoolista, mas infelizmente, to assistindo de pertinho como se fosse cool da parte dele"
194,Aí amiga queria tanto
195,Sabe que eu nem tô sentindo mais tanta falta assim ?  Acho que esse papo de dar um tempinho funciona mesmo scr .
196,eu montei um feed tao lindinho
197,@howritaa minha teoria
198,"O mundo da voltas, Se hoje nois ta fraco, amanhã nois ta forte💪😡🚂🚂🚩🚩"
199,Queria tanto ir no lounge bar mas não tem ninguém pra ir comigo mas tbm pq não sei onde é senão iria sozinho mesmo
200,Já tentei várias vezes pelo formulário e sempre foi negado e eu esqueci com quem falei pra conseguir o selo do SBT Rio
201,"Que isso, loucura! Quem em sã consciência faz alongamento de madrugada? Cê é louco..."
202,"manoooo, peguei o note do meu tio emprestado já q meus pais levaram meu PC p oficina, tô ficando doida como é desorganizado isso aqui"
203,só queria sumir hj
204,Aí é foda defender...
205,Tô nessa expectativa aí antes de gritar sextou 💁🏾‍♀️💃🏾
206,deram‍: hétero sou‍:  deram: 24 tenho:   deram: Libra sou:   deram: é determinada sou:   deram: desconfiada com relações sou:   comenta um emoji que eu digo o q acho quando vejo seu perfil
207,"tbm nao vi ninguem falando, mas pelo oq sei foi hj"
208,foda
210,"Acho eu que a Record deveria fazer uma série com o ""Sem Noção"". Esse personagem pode acabar não menino  #Topíssima29"
212,Eu to chateada demais vsf
213,morremos de rir e depois se ferramos KKKKKKKKKKKKKKKKKKKKKKKKK
214,Jeffi está ao vivo em seu Instagram tocando novas músicas da H.E.R
215,Conversa reservada com quem?  São falácias...
216,VAI TOMAR NO CU MEU ANJO
217,Apetece me falar com alguém aaaaaaaaaa
218,brabão mana kkkkkkkk
219,Já fui assim kakakaka... Hoje.
220,"Eu por acaso gosto de saber da vida dos namorados, em alguns casos tem particular piada"
221,Ladrão
222,eita
223,"fiz um hambúrguer caseiro aqui, ficou top viu, comi dois"
224,Meu joelho morreu
225,"Vai dar ruím, mas bora"
226,"50 anos de #Stonewall, um movimento importantíssimo para a comunidade #LGBT. Movimento este que mostrou que, todo ser humano, todo grupo, toda comunidade pode se unir e enfrentar quem reprime."
227,Felizmente voltando ser a foda se que sempre fui!!
228,"Depois das 20:30, local indefinido"
229,Tá caro
230,amém msm quero na minha mesa pra ontem ksnsksnsks
231,"Oin, você que é 🥰"
232,moscoso que é atrasada po </3
233,"KKKKKKKKKKKKKKKKKKKKKKKKKKK meu deus, vose por acaso leu meus outros tweets? Nao se assuste, sao apenas meus pensamentos por meio de associaçao livre"
